account,sentiment_label,trades,total_pnl,mean_pnl,win_rate,avg_notional
0x083384f897ee0f19899168e3b1bec365f52a9012,fear,2011,1010606.61881,502.5393430183988,0.43709597215315765,15304.158518150174
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,fear,198,197294.93561,996.4390687373736,0.5656565656565656,2936.8380808080806
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,fear,441,171198.284258,388.20472620861676,0.46485260770975056,7665.21081632653
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,fear,1525,148147.055383,97.14561008721311,0.3140983606557377,3171.6318229508197
0x4f93fead39b70a1824f981a54d4e55b278e9f760,fear,502,68938.323756,137.32733815936254,0.4581673306772908,17343.383227091635
0xb899e522b5715391ae1d4f137653e7906c5e2115,fear,316,39909.740821,126.29664816772151,0.4810126582278481,21077.52575949367
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,fear,779,35471.172206,45.53423903209243,0.7689345314505777,3100.178703465982
0x8170715b3b381dffb7062c0298972d4727a0a63b,fear,258,25515.534502,98.8974205503876,0.4496124031007752,624.3334108527131
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,fear,2288,19790.664511,8.649765957604895,0.36451048951048953,1719.1624169580418
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,fear,879,16781.609207,19.091705582480092,0.515358361774744,469.1692946530148
0xbaaaf6571ab7d571043ff1e313a9609a10637864,fear,881,9367.872074,10.63322596367764,0.24517593643586832,5027.504313280363
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,fear,126,9146.077249,72.58791467460317,0.3888888888888889,48213.45611111111
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,fear,994,7471.942472,7.517044740442656,0.176056338028169,1138.8416498993965
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,fear,665,6137.1337,9.228772481203007,0.35789473684210527,572.3354285714286
0x8477e447846c758f5a675856001ea72298fd9cb5,fear,1009,4884.66538,4.841095520317146,0.333994053518335,927.0334687809712
