account,sentiment_label,trades,total_pnl,mean_pnl,win_rate,avg_notional
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,extreme_greed,962,997871.478418,1037.2884391039502,0.6122661122661123,3730.7491476091477
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,greed,2032,332705.773842,163.7331564183071,0.2800196850393701,5748.129995078741
0xbaaaf6571ab7d571043ff1e313a9609a10637864,greed,744,188116.840712,252.8452160107527,1.0,3799.586747311828
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,extreme_greed,1571,155490.182605,98.97529128262254,0.8701464035646085,2127.8415531508595
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,greed,936,68045.186468,72.69784879059829,0.8728632478632479,4269.6416132478635
0x513b8629fe877bb581bf244e326a047b249c4ff1,greed,342,60544.304874,177.03013121052632,0.6900584795321637,22374.739152046783
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,greed,63,34709.852428,550.9500385396825,0.7777777777777778,1148.4314285714286
0x4f93fead39b70a1824f981a54d4e55b278e9f760,greed,663,28159.421489,42.472732260935146,0.24283559577677225,14443.715987933634
0x2c229d22b100a7beb69122eed721cee9b24011dd,extreme_greed,191,23897.024855,125.11531337696334,0.4816753926701571,3799.691623036649
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,greed,1035,22639.472053,21.873886041545894,0.43381642512077295,451.6642512077295
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,extreme_greed,146,20925.513222,143.32543302739728,0.7191780821917808,3872.035205479452
0x2c229d22b100a7beb69122eed721cee9b24011dd,greed,134,19563.53486,145.99652880597014,0.582089552238806,2296.2125373134327
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,extreme_greed,430,17645.398797,41.03581115581396,0.4906976744186046,138.173
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,extreme_greed,264,15641.746402,59.249039401515155,0.553030303030303,4203.481704545455
0x8170715b3b381dffb7062c0298972d4727a0a63b,greed,96,12788.744018,133.21608352083334,0.22916666666666666,2191.4045833333334
