sentiment_label,trades_count,total_pnl,avg_pnl_per_trade,median_pnl,std_pnl,win_rate,avg_profit_pct,avg_notional,median_notional
extreme_fear,2326,4399.936551,1.8916322231298366,0.0,76.72771255395584,0.2927773000859845,0.0031877921,4118.761840068787,599.12
extreme_greed,5621,1156893.675576,205.81634505888633,0.96048,1861.5571189594953,0.5532823341042519,0.13493758,3242.085086283579,365.0
fear,13869,1779225.582654,128.28795029591174,0.0,1342.3484968403718,0.381786718581008,0.029800126,5744.782685125099,703.88
greed,11292,609632.532636,53.988003244420824,0.0,1399.4681820543474,0.4357066950053135,0.030454276,5051.878829259653,675.0799999999999
neutral,2756,74656.74198,27.08880333091437,0.0,142.94588861346116,0.4949201741654572,0.02381389,4332.202906386067,411.81
